大佐的肯定原视频（不含BGM）,130.5万,282,登风君,1081890
进 击 的 郎 朗,84.4万,596,童嘎,1061751
【4K】老戴《赛博朋克 2077》全故事剧情流程解说【持续更新ING】,104.2万,1.5万,老戴在此,1061452
女朋友被偷窥上传P站 我追凶28天查出背后偷拍产业链,100.4万,1276,白帽黑客教程,1056170
闲鱼买个古铜镜回来抛光，古装剧没有骗人，铜镜真的可以当镜子。,84.3万,3162,我是彭嘉诚,1055037
女装大佬用变声器，骗亲哥网恋，见面时差点断绝关系,64.7万,1.2万,在下哲别,1047251
【老邪吐槽】林更新还怒喷网友？逆天吐槽无脑恋爱悬疑《最初的相遇》,69.8万,8220,老邪说电影,1046793
【泠鸢·原创】远旅休憩中的邂逅 - Intersection【折纸信笺】一切随时间归于平淡，却又变得更加梦幻。,28万,1838,泠鸢yousa,1046766
闺蜜脱单了发这个给她看,64.3万,257,无敌灏克666,1041751
猫和老鼠-2077,56.2万,429,庄不纯,1014910
81年前，他掀起了一场世界大战【历史调研室17】,68万,2948,历史调研室,1002180
垃圾生存游戏 每只恐龙身上都有BUG！,80.5万,2824,敖厂长,1001671
自制钓猫诸葛连弩，猫：快 射 我 啊 ！,46.3万,2929,蒂姆嘟嘟Tim,995873
建这个东西花了我一周！【全程高能15】,33.5万,7459,吉儿一范伦婷,993909
【矢野浩二】日本第一女仆咖啡店，全日本排名前二十女仆给我服务！舒服,43.3万,5447,矢野浩二,992916
手工耿的锅做菜真的好用吗？,81.5万,8606,老坛胡说,989771
【不止游戏】游戏中的燃烧照明棒，现实究竟有多亮？,62.2万,3899,森纳映画,989557
